x, y, v
-0.28, -0.993333, 0
-0.273333, -0.993333, 0
-0.266667, -0.993333, 0
-0.26, -0.993333, 0
-0.253333, -0.993333, 0
-0.246667, -0.993333, 0
-0.24, -0.993333, 0
-0.233333, -0.993333, 0
-0.226667, -0.993333, 0
-0.22, -0.993333, 0
-0.213333, -0.993333, 0
-0.206667, -0.993333, 0
-0.2, -0.993333, 0
-0.193333, -0.993333, 0
-0.186667, -0.993333, 0
-0.18, -0.993333, 0
-0.173333, -0.993333, 0
-0.166667, -0.993333, 0
-0.16, -0.993333, 0
-0.153333, -0.993333, 0
-0.146667, -0.993333, 0
-0.14, -0.993333, 0
-0.133333, -0.993333, 0
-0.126667, -0.993333, 0
-0.12, -0.993333, 0
-0.113333, -0.993333, 1.08929e-177
-0.106667, -0.993333, 3.94851e-176
-0.1, -0.993333, 2.41232e-175
-0.0933333, -0.993333, 9.82765e-175
-0.0866667, -0.993333, 3.27025e-174
-0.08, -0.993333, 9.471e-174
-0.0733333, -0.993333, 2.451e-173
-0.0666667, -0.993333, 5.74302e-173
-0.06, -0.993333, 1.22758e-172
-0.0533333, -0.993333, 2.40502e-172
-0.0466667, -0.993333, 4.33238e-172
-0.04, -0.993333, 7.19185e-172
-0.0333333, -0.993333, 1.10194e-171
-0.0266667, -0.993333, 1.56026e-171
-0.02, -0.993333, 2.04326e-171
-0.0133333, -0.993333, 2.47633e-171
-0.00666667, -0.993333, 2.77864e-171
6.41848e-17, -0.993333, 2.88732e-171
0.00666667, -0.993333, 2.77864e-171
0.0133333, -0.993333, 2.47633e-171
0.02, -0.993333, 2.04326e-171
0.0266667, -0.993333, 1.56026e-171
0.0333333, -0.993333, 1.10194e-171
0.04, -0.993333, 7.19185e-172
0.0466667, -0.993333, 4.33238e-172
0.0533333, -0.993333, 2.40502e-172
0.06, -0.993333, 1.22758e-172
0.0666667, -0.993333, 5.74302e-173
0.0733333, -0.993333, 2.451e-173
0.08, -0.993333, 9.471e-174
0.0866667, -0.993333, 3.27025e-174
0.0933333, -0.993333, 9.82765e-175
0.1, -0.993333, 2.41232e-175
0.106667, -0.993333, 3.94851e-176
0.113333, -0.993333, 1.08929e-177
0.12, -0.993333, 0
0.126667, -0.993333, 0
0.133333, -0.993333, 0
0.14, -0.993333, 0
0.146667, -0.993333, 0
0.153333, -0.993333, 0
0.16, -0.993333, 0
0.166667, -0.993333, 0
0.173333, -0.993333, 0
0.18, -0.993333, 0
0.186667, -0.993333, 0
0.193333, -0.993333, 0
0.2, -0.993333, 0
0.206667, -0.993333, 0
0.213333, -0.993333, 0
0.22, -0.993333, 0
0.226667, -0.993333, 0
0.233333, -0.993333, 0
0.24, -0.993333, 0
0.246667, -0.993333, 0
0.253333, -0.993333, 0
0.26, -0.993333, 0
0.266667, -0.993333, 0
0.273333, -0.993333, 0
0.28, -0.993333, 0
0.286667, -0.993333, 0
0.293333, -0.993333, 0
0.3, -0.993333, 0
0.306667, -0.993333, 0
0.313333, -0.993333, 0
0.32, -0.993333, 0
0.326667, -0.993333, 0
0.333333, -0.993333, 0
0.34, -0.993333, 0
0.346667, -0.993333, 0
0.353333, -0.993333, 0
0.36, -0.993333, 0
0.366667, -0.993333, 0
0.373333, -0.993333, 0
0.38, -0.993333, 0
0.386667, -0.993333, 0
0.393333, -0.993333, 0
0.4, -0.993333, 0
0.406667, -0.993333, 0
0.413333, -0.993333, 0
0.42, -0.993333, 0
0.426667, -0.993333, 0
0.433333, -0.993333, 0
0.44, -0.993333, 0
0.446667, -0.993333, 0
0.453333, -0.993333, 0
0.46, -0.993333, 0
0.466667, -0.993333, 0
0.473333, -0.993333, 0
0.48, -0.993333, 0
0.486667, -0.993333, 0
0.493333, -0.993333, 0
0.5, -0.993333, 0
0.506667, -0.993333, 0
0.513333, -0.993333, 0
0.52, -0.993333, 0
0.526667, -0.993333, 0
0.533333, -0.993333, 0
0.54, -0.993333, 0
0.546667, -0.993333, 0
0.553333, -0.993333, 0
0.56, -0.993333, 0
0.566667, -0.993333, 0
0.573333, -0.993333, 0
0.58, -0.993333, 0
0.586667, -0.993333, 0
0.593333, -0.993333, 0
0.6, -0.993333, 0
0.606667, -0.993333, 0
0.613333, -0.993333, 0
0.62, -0.993333, 0
0.626667, -0.993333, 0
0.633333, -0.993333, 0
0.64, -0.993333, 0
0.646667, -0.993333, 0
0.653333, -0.993333, 0
0.66, -0.993333, 0
0.666667, -0.993333, 0
0.673333, -0.993333, 0
0.68, -0.993333, 0
0.686667, -0.993333, 0
0.693333, -0.993333, 0
0.7, -0.993333, 0
0.706667, -0.993333, 0
0.713333, -0.993333, 0
0.72, -0.993333, 0
0.726667, -0.993333, 0
0.733333, -0.993333, 0
0.74, -0.993333, 0
0.746667, -0.993333, 0
0.753333, -0.993333, 0
0.76, -0.993333, 0
0.766667, -0.993333, 0
0.773333, -0.993333, 0
0.78, -0.993333, 0
0.786667, -0.993333, 0
0.793333, -0.993333, 0
0.8, -0.993333, 0
0.806667, -0.993333, 0
0.813333, -0.993333, 0
0.82, -0.993333, 0
0.826667, -0.993333, 0
0.833333, -0.993333, 0
0.84, -0.993333, 0
0.846667, -0.993333, 0
0.853333, -0.993333, 0
0.86, -0.993333, 0
0.866667, -0.993333, 0
0.873333, -0.993333, 0
0.88, -0.993333, 0
0.886667, -0.993333, 0
0.893333, -0.993333, 0
0.9, -0.993333, 0
0.906667, -0.993333, 0
0.913333, -0.993333, 0
0.92, -0.993333, 0
0.926667, -0.993333, 0
0.933333, -0.993333, 0
0.94, -0.993333, 0
0.946667, -0.993333, 0
0.953333, -0.993333, 0
0.96, -0.993333, 0
0.966667, -0.993333, 0
0.973333, -0.993333, 0
0.98, -0.993333, 0
0.986667, -0.993333, 0
0.993333, -0.993333, 0
1, -0.993333, 0

-1, -0.986667, 0
-0.993333, -0.986667, 0
-0.986667, -0.986667, 0
